Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-03-25 16:14:47,false,"Lenexa Running","6.00","576","00:54:35","164","177","164","235","9:06","7:49","183","175","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:41.72.9","6","0.0","00:54:28","00:56:23","951","1,043"
Running,2022-03-16 16:56:30,false,"Lenexa Running","3.00","279","00:25:50","164","179","168","176","8:36","7:42","75","98","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.35.3","4","0.0","00:25:49","00:25:50","952","996"
Running,2022-03-14 16:34:31,false,"Lenexa Running","3.00","260","00:25:24","158","173","168","176","8:28","7:37","56","64","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:13.26.9","3","0.0","00:25:11","00:26:28","952","996"
Running,2022-03-09 16:14:13,false,"Lenexa Running","3.00","254","00:25:07","159","173","169","176","8:22","7:46","45","47","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:20.29.2","3","0.0","00:25:07","00:25:07","952","996"
Running,2022-03-02 16:56:30,false,"Lenexa Running","3.00","273","00:25:43","164","180","169","174","8:34","8:10","44","49","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.61","4","0.0","00:25:42","00:25:52","952","996"
Running,2022-02-28 16:45:13,false,"Lenexa Running","4.00","365","00:35:28","161","180","166","177","8:52","8:09","89","94","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.83.9","5","0.0","00:35:28","00:35:28","952","1,040"
Running,2022-02-21 17:34:06,false,"Lenexa Running","3.00","269","00:25:26","164","179","170","176","8:29","8:02","71","94","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:27.13.1","3","0.0","00:25:26","00:25:26","952","997"
Running,2022-02-14 16:51:02,false,"Lenexa Running","3.01","266","00:24:39","166","181","171","177","8:12","7:41","89","84","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.51.6","4","0.0","00:24:35","00:24:43","952","996"
Running,2022-02-09 16:33:35,false,"Lenexa Running","4.00","377","00:34:47","166","181","167","177","8:41","7:40","117","112","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.14.1","5","0.0","00:34:46","00:34:47","952","1,016"
Running,2022-01-31 16:32:01,false,"Lenexa Running","4.01","363","00:36:06","157","180","162","214","9:01","7:50","139","164","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.25.6","5","0.0","00:36:01","00:36:54","951","1,027"
Running,2022-01-25 16:50:10,false,"Lenexa Running","3.01","253","00:25:35","156","178","169","177","8:30","8:02","102","97","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.89.8","4","0.0","00:25:32","00:26:03","952","997"
Running,2022-01-12 16:09:13,false,"Lenexa Running","3.00","276","00:26:18","164","179","165","221","8:46","7:45","72","87","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:24.11.3","3","0.0","00:26:17","00:26:18","951","997"
Running,2022-01-03 16:20:23,false,"Lenexa Running","3.01","300","00:29:30","160","174","167","176","9:49","8:26","52","67","0.98","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.08.8","4","0.0","00:29:25","00:29:51","952","996"
Running,2021-12-31 16:36:19,false,"Lenexa Running","3.01","270","00:25:20","164","180","169","175","8:26","8:02","77","70","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.10.5","4","0.0","00:25:19","00:25:20","952","995"
Running,2021-12-28 15:33:47,false,"Lenexa Running","4.00","377","00:34:53","165","181","166","210","8:43","7:36","82","88","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:23.51","4","0.0","00:34:39","00:37:20","952","1,004"
Running,2021-12-14 16:29:45,false,"Lenexa Running","3.00","286","00:25:19","168","182","170","176","8:26","7:51","60","84","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.81.5","4","0.0","00:25:17","00:25:25","951","1,003"
Running,2021-12-10 16:28:04,false,"Lenexa Running","3.70","331","00:30:05","165","183","165","176","8:08","6:16","132","131","1.20","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:21.38.5","4","0.0","00:30:04","00:30:05","929","996"
Running,2021-11-17 16:05:10,false,"Shawnee Running","3.00","280","00:25:45","163","180","170","177","8:35","7:37","190","225","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:16.34.2","3","0.0","00:25:38","00:25:53","867","1,018"
Running,2021-11-16 16:28:55,false,"Shawnee Running","3.00","270","00:25:32","158","179","170","179","8:31","7:23","88","124","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:17.20.8","3","0.0","00:25:15","00:27:20","780","905"
Running,2021-11-09 16:35:15,false,"Shawnee Running","4.01","371","00:34:33","161","178","168","216","8:37","7:01","95","131","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.64.7","5","0.0","00:34:11","00:37:16","773","905"
Running,2021-11-08 16:54:56,false,"Running","3.00","286","00:25:21","166","184","167","187","8:27","7:02","97","124","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.50","4","0.0","00:25:01","00:27:28","780","905"
Running,2021-11-02 16:35:28,false,"Shawnee Running","5.00","464","00:42:25","162","182","171","206","8:29","7:01","110","150","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:21.03.6","5","0.0","00:42:14","00:46:42","763","905"
Running,2021-10-25 16:36:44,false,"Shawnee Running","5.00","456","00:41:51","162","179","171","185","8:22","7:07","114","139","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.93.4","6","0.0","00:41:27","00:45:33","762","902"
Running,2021-10-22 15:53:38,false,"Shawnee Running","3.00","275","00:25:10","162","181","170","183","8:23","7:06","96","124","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:15.11.9","3","0.0","00:24:54","00:28:47","780","905"
Running,2021-10-20 16:23:48,false,"Shawnee Running","4.01","367","00:34:19","159","179","169","183","8:34","7:26","91","117","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.22.6","5","0.0","00:34:00","00:38:41","774","903"
Running,2021-10-18 17:04:16,false,"Shawnee Running","5.00","455","00:42:46","159","177","169","185","8:33","7:01","108","130","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:26.64.5","5","0.0","00:42:22","00:48:15","764","902"
Running,2021-10-12 17:04:28,false,"Shawnee Running","4.00","367","00:34:50","158","175","167","183","8:42","7:25","98","140","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:30.95.5","4","0.0","00:34:35","00:37:28","773","905"
Running,2021-10-11 16:27:40,false,"Shawnee Running","3.00","271","00:25:30","160","177","169","183","8:30","7:14","94","120","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:15.40.3","3","0.0","00:25:13","00:28:48","780","904"
Running,2021-10-08 16:20:38,false,"Shawnee Running","4.01","378","00:35:49","160","180","163","181","8:56","7:20","86","117","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.58.6","5","0.0","00:35:14","00:40:11","773","904"
Running,2021-10-06 16:14:28,false,"Shawnee Running","5.00","464","00:43:43","160","181","168","183","8:44","7:34","104","132","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.50.9","6","0.0","00:43:24","00:50:46","763","905"
Running,2021-10-05 16:30:38,false,"Shawnee Running","4.00","364","00:37:25","149","180","157","187","9:21","7:04","120","138","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.32.5","5","0.0","00:37:02","00:43:42","773","894"
Running,2021-09-29 16:35:31,false,"Shawnee Running","3.00","279","00:26:02","161","181","168","185","8:40","7:02","94","122","1.10","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:32.01.8","3","0.0","00:25:49","00:28:46","781","906"
Running,2021-09-27 16:44:20,false,"Shawnee Running","3.00","295","00:27:58","161","181","158","223","9:19","7:12","93","121","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:32.29.9","3","0.0","00:27:50","00:30:09","780","906"
Running,2021-09-24 16:37:25,false,"Shawnee Running","4.00","370","00:35:18","160","182","168","181","8:49","6:35","115","143","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:39.85.6","4","0.0","00:34:54","00:43:11","774","905"
Running,2021-09-22 17:15:22,false,"Shawnee Running","3.00","278","00:26:18","160","184","168","181","8:46","7:06","95","123","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:31.15.3","3","0.0","00:25:59","00:35:32","780","904"
Running,2021-09-21 16:19:05,false,"Shawnee Running","4.00","394","00:36:13","164","182","163","181","9:03","7:45","112","140","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:35.64.8","4","0.0","00:36:06","00:39:28","773","905"
Running,2021-09-10 17:01:59,false,"Shawnee Running","3.00","296","00:26:44","165","185","169","181","8:54","7:22","96","125","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:44.06.8","3","0.0","00:26:34","00:28:42","780","906"
Running,2021-09-08 16:27:33,false,"Shawnee Running","5.00","494","00:47:14","163","183","159","183","9:26","7:22","117","160","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.96.3","6","0.0","00:46:57","00:54:40","757","906"
Running,2021-09-06 17:09:48,false,"Shawnee Running","4.00","431","00:41:52","160","186","147","185","10:27","7:08","87","126","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.08.4","5","0.0","00:41:41","00:45:06","773","906"
Running,2021-08-30 17:15:22,false,"Shawnee Running","3.00","320","00:27:45","166","189","163","179","9:15","7:23","93","120","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:43.22.1","3","0.0","00:27:28","00:31:16","780","905"
Running,2021-08-18 17:20:55,false,"Shawnee Running","3.00","294","00:27:13","161","182","165","183","9:04","7:29","94","122","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.34.2","4","0.0","00:26:58","00:29:37","781","903"
Running,2021-08-16 17:12:29,false,"Shawnee Running","3.00","305","00:29:27","157","183","156","183","9:48","7:45","96","125","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.90.7","4","0.0","00:29:16","00:31:51","780","905"
Running,2021-08-13 10:19:48,false,"Shawnee Running","5.00","496","00:46:01","162","184","162","183","9:12","7:42","166","193","1.08","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.12.8","6","0.0","00:45:19","00:53:48","776","908"
Running,2021-08-11 16:41:19,false,"Shawnee Running","3.00","331","00:29:41","164","186","153","181","9:54","8:04","91","118","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:23.87.4","3","0.0","00:29:29","00:33:04","780","905"
Running,2021-08-03 17:18:01,false,"Shawnee Running","3.01","280","00:27:39","154","180","165","183","9:12","7:46","102","123","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.99","4","0.0","00:27:22","00:30:44","780","903"
Running,2021-08-02 16:30:24,false,"Shawnee Running","5.02","500","00:46:38","162","183","162","181","9:18","7:53","118","145","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.42.1","6","0.0","00:46:20","00:48:32","764","904"
Running,2021-07-28 16:22:06,false,"Shawnee Running","3.00","305","00:29:11","159","184","159","183","9:43","7:37","94","121","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.40.7","4","0.0","00:29:05","00:31:18","780","904"
Running,2021-07-26 16:40:14,false,"Shawnee Running","4.00","410","00:38:20","161","182","158","181","9:35","7:37","94","133","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.39.4","5","0.0","00:37:52","00:42:35","772","906"
Running,2021-07-21 17:01:51,false,"Shawnee Running","3.01","287","00:29:24","150","178","156","185","9:46","7:16","94","121","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.15","4","0.0","00:28:56","00:39:46","780","905"
